player,stat,line,ev,p_over,p_under,std,p5,p95,volatility,confidence,n_sims
Less,adr,140.0,159.01,90.2,9.8,19.19,128.59,194.4,Low,High,10000
Less,kast,70.0,68.31,27.9,72.2,7.39,55.72,83.29,Low,High,10000
Less,hs_pct,22.0,23.23,79.3,20.7,2.58,19.06,28.3,Low,High,10000
Less,assists,4.5,3.03,26.1,73.9,2.7,0.0,8.0,High,Medium,10000
Yay,kills,17.5,21.5,66.2,33.8,8.36,9.0,36.0,High,Medium,10000
Yay,acs,220.0,289.98,96.8,3.2,34.61,235.75,355.89,Low,High,10000
Yay,kd,1.15,1.73,59.5,40.5,1.69,0.45,4.0,High,Low,10000
Yay,adr,140.0,191.09,97.5,2.5,23.98,154.2,235.4,Low,High,10000
Yay,kast,70.0,74.34,85.7,14.3,7.98,60.84,91.08,Low,High,10000
Yay,hs_pct,22.0,25.31,91.3,8.7,3.06,20.58,31.08,Low,High,10000
Yay,assists,4.5,3.89,36.6,63.4,3.14,0.0,10.0,High,Medium,10000
Nats,kills,17.5,18.3,51.0,49.0,7.25,7.0,31.0,High,Low,10000
Nats,acs,220.0,246.99,90.0,10.0,29.07,203.86,303.07,Low,High,10000
Nats,kd,1.15,1.54,49.5,50.5,1.86,0.35,3.67,High,Low,10000
Nats,adr,140.0,161.35,89.8,10.2,20.52,130.42,198.77,Low,High,10000
Nats,kast,70.0,70.08,44.4,55.6,7.61,58.35,85.83,Low,Low,10000
Nats,hs_pct,22.0,23.91,87.6,12.4,2.66,19.86,29.23,Low,High,10000
Nats,assists,4.5,2.87,23.1,76.9,2.5,0.0,8.0,High,High,10000
Shao,kills,17.5,18.16,50.3,49.7,7.74,6.0,32.0,High,Low,10000
Shao,acs,220.0,245.92,89.0,11.0,29.03,202.27,302.99,Low,High,10000
Shao,kd,1.15,1.58,46.4,53.6,2.32,0.3,3.91,High,Low,10000
Shao,adr,140.0,162.2,90.8,9.2,20.43,131.44,200.42,Low,High,10000
Shao,kast,70.0,71.66,61.3,38.7,7.83,59.39,88.23,Low,Medium,10000
Shao,hs_pct,22.0,21.75,46.8,53.2,6.12,12.15,32.02,Medium,Low,10000
Shao,assists,4.5,4.2,40.7,59.3,3.36,0.0,10.0,High,Low,10000
